ablatives	ablative:ablative_A s:+PL
positron	posi: tron:
worshipping	wor: ship: ping:
pions	pi: on: s:
quark	quark:
cyclotron	cyclo: tron:
papermaking	paper: mak: ing:
pyrotechnic	pyro: techn: ic:
neutrino	neutr: ino:
electron	electr: on:
pikeman	pike: man:
gluon	glu: on:
piezoelectric	piezo: electr: ic:
hydrodynamics	hydro: dynam: ics:
muon	mu: on:
swordman	sword: man:
exoplanet	exo: planet:
orbital	orbit: al:
nuclear	nucle: ar:
slavery	slav: ery:
papyrus	papyrus:
cataphract	cata: phract:
chartaceous	charta: ceous:
overwhelming	over: whelm: ing:
bowman	bow: man:
antiproton	anti: prot: on:
hadron	hadr: on:
proton	prot: on:
charta	charta:
homepage	home: page:
nuthouse	nut: house:
crucially	cruc: ial: ly:
infallible	in: fallible:
typed	typ: ed:
watchdog	watch: dog:
vodka	vodka:
unctuousness'	unctu: ous: ness: ':
autobiographically	auto: bio: graph: ic: ally:
alum	alum:
truncate	truncate:
mouthwashes	mouth: wash: es:
cubic	cub: ic:
corns	corn: s:
sees	see: s:
goods	good: s:
bookcase	book: case:
hag	hag:
marrows	marrow: s:
spectres	spectre: s:
apathetically	a: path: etic: ally:
cargo	cargo:
dozed	doze: d:
villain	villain:
impressed	im: press: ed:
silk	silk:
twirls	twirl: s:
accelerate	accelerate:
cause	cause:
wall	wall:
likeable	like: able:
desires	desire: s:
succeeding	succeed: ing:
recounts	re: count: s:
poor	poor:
emphasis	emphasis:
hourly	hour: ly:
quickens	quick: en: s:
zoom	zoom:
include	include:
postscript	post: script:
sadly	sad: ly:
achieved	achiev: ed:
calendar	calendar:
bold	bold:
highest	high: est:
jaws	jaw: s:
importing	import: ing:
request	request:
invested	invest: ed:
undertakings	under: tak: ing: s:
nose	nose:
performance	perform: ance:
violent	violent:
these	these:
priests	priest: s:
several	several:
tenderness	tend: er: ness:
hardness	hard: ness:
impossibilities	im: possib: ilit: ies:
avoided	avoid: ed:
price	price:
regrouping	re: group: ing:
ladylike	lady: like:
behead	be: head:
elements	element: s:
gentleman	gentle: man:
impossible	im: possible:
inputs	in: put: s:
components	component: s:
suddenly	sudden: ly:
trial	tri: al:
stupidity	stupid: ity:
goodbye	good: bye:
prepay	pre: pay:
retroactive	re: tro: active:
another	an: other:
classroom	class: room:
purposeful	purpose: ful:
deforms	de: form: s:
blindness	blind: ness:
redness	red: ness:
certainly	certain: ly:
depose	de: pose:
smarten	smart: en:
unpresentable	un: present: able:
befriended	be: friend: ed:
repackage	re: pack: age:
taller	tall: er:
calmly	calm: ly:
within	with: in:
